concept_id,concept_code,concept_name,vocabulary_id,cluster,category
43020442,207871000119100,Adult victim of emotional abuse,SNOMED,Emotional Abuse,Adverse Childhood Experiences
43021802,473453008,Child victim of psychological or emotional abuse,SNOMED,Emotional Abuse,Adverse Childhood Experiences
4161447,371773006,Emotional abuse,SNOMED,Emotional Abuse,Adverse Childhood Experiences
436001,371774000,Emotional abuse of adult,SNOMED,Emotional Abuse,Adverse Childhood Experiences
439395,371775004,Emotional abuse of child,SNOMED,Emotional Abuse,Adverse Childhood Experiences
4072656,242047002,Emotional abuse of disabled person,SNOMED,Emotional Abuse,Adverse Childhood Experiences
4149657,278707004,Emotional deprivation of child,SNOMED,Emotional Abuse,Adverse Childhood Experiences
4192665,39465007,Emotional deprivation syndrome,SNOMED,Emotional Abuse,Adverse Childhood Experiences
4193573,313217007,History of emotional abuse,SNOMED,Emotional Abuse,Adverse Childhood Experiences
45757170,10760941000119102,Psychological abuse complicating childbirth,SNOMED,Emotional Abuse,Adverse Childhood Experiences
45757171,10760981000119107,Psychological abuse complicating pregnancy,SNOMED,Emotional Abuse,Adverse Childhood Experiences
4319168,95925006,Psychologically abused woman,SNOMED,Emotional Abuse,Adverse Childhood Experiences
37108776,12399131000119105,Suspected victim of child emotional abuse,SNOMED,Emotional Abuse,Adverse Childhood Experiences
44783767,697951004,Suspected victim of emotional abuse,SNOMED,Emotional Abuse,Adverse Childhood Experiences
4310558,423402005,Victim of consistent negative messages,SNOMED,Emotional Abuse,Adverse Childhood Experiences
443549,419916003,Victim of emotional abuse,SNOMED,Emotional Abuse,Adverse Childhood Experiences
4026164,225825002,Victim of verbal abuse,SNOMED,Emotional Abuse,Adverse Childhood Experiences
4053413,242038005,Abandonment of infant,SNOMED,Neglect,Adverse Childhood Experiences
764157,451441000124109,Adult victim of neglect,SNOMED,Neglect,Adverse Childhood Experiences
43020448,231431000119104,Adult victim of nutritional neglect,SNOMED,Neglect,Adverse Childhood Experiences
4053713,242037000,Child abandonment,SNOMED,Neglect,Adverse Childhood Experiences
4262163,397660003,Child deprivation syndrome,SNOMED,Neglect,Adverse Childhood Experiences
4302805,418496002,Child neglect,SNOMED,Neglect,Adverse Childhood Experiences
43020447,231421000119102,Child victim of nutritional neglect,SNOMED,Neglect,Adverse Childhood Experiences
4310433,423217007,Delayed healthcare provision resulting in neglect,SNOMED,Neglect,Adverse Childhood Experiences
765389,288381000119109,History of childhood neglect,SNOMED,Neglect,Adverse Childhood Experiences
4306507,422566002,Inappropriately left alone,SNOMED,Neglect,Adverse Childhood Experiences
4308303,422379007,Lacks emotional nurturance,SNOMED,Neglect,Adverse Childhood Experiences
4313741,423562005,Lacks necessary supervision,SNOMED,Neglect,Adverse Childhood Experiences
4020157,213007006,Multiple deprivation of child,SNOMED,Neglect,Adverse Childhood Experiences
37108754,12240741000119107,Neglect of adult,SNOMED,Neglect,Adverse Childhood Experiences
4053717,242048007,Neglect of disabled person,SNOMED,Neglect,Adverse Childhood Experiences
4160623,371776003,Neglect or abandonment,SNOMED,Neglect,Adverse Childhood Experiences
4020594,213004004,Nutritional maltreatment of child,SNOMED,Neglect,Adverse Childhood Experiences
4333752,432262005,Nutritional neglect of adult,SNOMED,Neglect,Adverse Childhood Experiences
45765898,702953007,Suspected victim of child neglect,SNOMED,Neglect,Adverse Childhood Experiences
36715279,720824009,Victim of child neglect,SNOMED,Neglect,Adverse Childhood Experiences
36715278,720823003,Victim of infant neglect,SNOMED,Neglect,Adverse Childhood Experiences
435131,95930005,Victim of neglect,SNOMED,Neglect,Adverse Childhood Experiences
762124,29221000119106,Adult victim of non-domestic physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
43020449,237451000119100,Adult victim of physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
43020482,288671000119101,Adult victim of physical abuse by female partner,SNOMED,Physical Abuse,Adverse Childhood Experiences
43021866,288681000119103,Adult victim of physical abuse by male partner,SNOMED,Physical Abuse,Adverse Childhood Experiences
4265722,397864009,Battered baby,SNOMED,Physical Abuse,Adverse Childhood Experiences
4009867,102457005,Battered baby AND/OR child syndrome,SNOMED,Physical Abuse,Adverse Childhood Experiences
4300517,78077007,Battered spouse syndrome,SNOMED,Physical Abuse,Adverse Childhood Experiences
4052604,160800006,Battered wife - history,SNOMED,Physical Abuse,Adverse Childhood Experiences
4252909,74715005,Battered woman syndrome,SNOMED,Physical Abuse,Adverse Childhood Experiences
4169278,418189009,Child abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
4059773,161062006,Child abuse in family,SNOMED,Physical Abuse,Adverse Childhood Experiences
4293872,401316003,Child affected by Munchausen's by proxy,SNOMED,Physical Abuse,Adverse Childhood Experiences
43020501,289431000119109,Child victim of maltreatment,SNOMED,Physical Abuse,Adverse Childhood Experiences
43020450,237461000119103,Child victim of physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
4301156,403590001,Cutaneous Munchausen syndrome by proxy,SNOMED,Physical Abuse,Adverse Childhood Experiences
36715173,720684005,Domestic physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
37204043,787209003,Domestic physical abuse of adult,SNOMED,Physical Abuse,Adverse Childhood Experiences
764560,456621000124105,Family history of victim of physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
762057,288351000119102,History of adulthood of physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
36713087,288391000119107,History of being a victim of child physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
36717284,288371000119106,History of being victim of child abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
36717121,720411002,History of domestic physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
37207733,293611000119101,History of domestic physical abuse of adult,SNOMED,Physical Abuse,Adverse Childhood Experiences
4208970,313215004,History of physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
761894,1740001000004102,Iatrogenic thyrotoxicosis factitia,SNOMED,Physical Abuse,Adverse Childhood Experiences
40482897,445272000,Late effect of child abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
4318556,95637005,Munchausen's by proxy,SNOMED,Physical Abuse,Adverse Childhood Experiences
44784256,698301002,Non-domestic physical abuse of adult,SNOMED,Physical Abuse,Adverse Childhood Experiences
4302066,418506006,Physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
45757135,10756261000119102,Physical abuse complicating childbirth,SNOMED,Physical Abuse,Adverse Childhood Experiences
45757136,10756301000119105,Physical abuse complicating pregnancy,SNOMED,Physical Abuse,Adverse Childhood Experiences
439391,371778002,Physical abuse of adult,SNOMED,Physical Abuse,Adverse Childhood Experiences
4053416,242045005,Physical abuse of disabled person,SNOMED,Physical Abuse,Adverse Childhood Experiences
4053552,242040000,Physical abuse of elderly person,SNOMED,Physical Abuse,Adverse Childhood Experiences
